Municipalities,Year,allAges,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,av_Income
Herning,2010,0.192874175901248,0.0222097535886286,0.0444195071772572,0.0280544255856361,0.0444195071772572,0.0350680319820452,0.0175340159910226,0.00116893439940151,190683
Herning,2011,0.178213670036808,0.0256254950379723,0.0512509900759446,0.0232959045799748,0.0384382425569585,0.0291198807249686,0.0104831570609887,0,199171
Herning,2012,0.208458794644925,0.0254782971232686,0.0636957428081716,0.0382174456849029,0.0347431324408209,0.0312688191967388,0.0150553573910224,0,199123
Herning,2013,0.192851781280674,0.0311796293088516,0.056585253190138,0.0381084358219297,0.0288700271378255,0.0288700271378255,0.00808360759859114,0.00115480108551302,203505
Herning,2014,0.206121461965408,0.026484880587734,0.0610303770065176,0.0506667280808825,0.0287879136823196,0.0310909467769052,0.00575758273646392,0.00115151654729278,208360
Herning,2015,0.216430281819856,0.0230244980659422,0.0713759440044207,0.0472002210351814,0.0276293976791306,0.0287806225824277,0.0149659237428624,0.00115122490329711,211934
Herning,2016,0.182662998184786,0.0285410934663729,0.0502323245008163,0.039957530852922,0.026257805989063,0.0251161622504081,0.0102747936478942,0.00114164373865492,216136
Herning,2017,0.203652162107121,0.0237594189124975,0.0520444414273754,0.0463874369243998,0.0339420270178535,0.0305478243160682,0.0158396126083316,0.00113140090059512,223994
Herning,2018,0.181443206022562,0.0157776700889184,0.052967892441369,0.0394441752222961,0.0315553401778369,0.0247934815683004,0.0157776700889184,0.00112697643492275,229212
Hillerød,1995,0.323884667835574,0.0365283459964933,0.0803623611922852,0.0827975842587181,0.0681862458601208,0.0438340151957919,0.0121761153321644,0,125724
Hillerød,1996,0.307951401419463,0.0529291471189703,0.060146758089739,0.0505232767953807,0.0842054613256346,0.0384939251774329,0.0192469625887165,0.00240587032358956,130078
Hillerød,1997,0.34824795254221,0.0624444604558446,0.0792564305785719,0.0456324903331172,0.0768547205610395,0.0600427504383121,0.0216153901577923,0.00240171001753248,136190
Hillerød,1998,0.323316850513503,0.0427919360973754,0.0713198934956257,0.049923925446938,0.0855838721947509,0.0594332445796881,0.0118866489159376,0.00237732978318752,143334
Hillerød,1999,0.331226949188377,0.0422842913857502,0.0704738189762503,0.0728229462754587,0.0798703281730837,0.0540299278817919,0.00234912729920834,0.00234912729920834,148298
Hillerød,2000,0.304360958156177,0.0487906879487001,0.0418205896703144,0.0534374201342906,0.0604075184126763,0.0650542505982668,0.0348504913919286,0,154260
Hillerød,2001,0.334624464257065,0.0618826064037038,0.0664665031743485,0.0550067612477367,0.0641745547890261,0.0595906580183814,0.0275033806238684,0,160843
Hillerød,2002,0.284090909090909,0.05,0.0454545454545455,0.0409090909090909,0.0545454545454545,0.0636363636363636,0.0295454545454545,0,169132
Hillerød,2003,0.342139846830108,0.0430507092037885,0.0611773236053836,0.0725064576063806,0.0702406308061812,0.07477228440658,0.0181266144015951,0.00226582680019939,173260
Hillerød,2004,0.302073940486925,0.0541027953110911,0.0518485121731289,0.0495942290351668,0.0563570784490532,0.0473399458972047,0.0405770964833183,0.00225428313796213,183075
Hillerød,2005,0.304659498207885,0.0604838709677419,0.0448028673835125,0.0582437275985663,0.0582437275985663,0.0537634408602151,0.0268817204301075,0.00224014336917563,191690
